date,japanese,reading,english,example_sentence,status
2026-07-02,去年,きょねん,last year,去年、北海道へ行きました,learning
2026-07-02,について,について,about,旅行について話したいです,learning
2026-07-02,びっくり,びっくり,surprised,びっくりしました,learning
2026-07-02,旅行,りょこう,travel,北海道へ旅行しました,learning
2026-07-02,北海道,ほっかいどう,Hokkaido,北海道が好きです,learning
2026-07-02,帯広,おびひろ,Obihiro,帯広で豚丼を食べました,learning
2026-07-02,豚丼,ぶたどん,pork rice bowl,豚丼はおいしかったです,learning
2026-07-02,ソフトクリーム,そふとくりーむ,soft serve ice cream,ソフトクリームが大好きです,learning
2026-07-02,自然に,しぜんに,naturally,もっと自然に話したいです,learning
2026-07-02,会話,かいわ,conversation,日本語で会話したいです,learning
